"divipol_department","department_name","divipol_municipality","municipality_name"
"05",ANTIOQUIA,"05001",MEDELLÍN
"05",ANTIOQUIA,"05002",ABEJORRAL
"05",ANTIOQUIA,"05004",ABRIAQUÍ
"05",ANTIOQUIA,"05021",ALEJANDRÍA
"05",ANTIOQUIA,"05030",AMAGÁ
"05",ANTIOQUIA,"05031",AMALFI
"05",ANTIOQUIA,"05034",ANDES
"05",ANTIOQUIA,"05036",ANGELÓPOLIS
"05",ANTIOQUIA,"05038",ANGOSTURA
"05",ANTIOQUIA,"05040",ANORÍ
"05",ANTIOQUIA,"05042",SANTA FÉ DE ANTIOQUIA
"05",ANTIOQUIA,"05044",ANZÁ
"05",ANTIOQUIA,"05045",APARTADÓ
"05",ANTIOQUIA,"05051",ARBOLETES
"05",ANTIOQUIA,"05055",ARGELIA
"05",ANTIOQUIA,"05059",ARMENIA
"05",ANTIOQUIA,"05079",BARBOSA
"05",ANTIOQUIA,"05086",BELMIRA
"05",ANTIOQUIA,"05088",BELLO
"05",ANTIOQUIA,"05091",BETANIA
"05",ANTIOQUIA,"05093",BETULIA
"05",ANTIOQUIA,"05101",CIUDAD BOLÍVAR
"05",ANTIOQUIA,"05107",BRICEÑO
"05",ANTIOQUIA,"05113",BURITICÁ
"05",ANTIOQUIA,"05120",CÁCERES
"05",ANTIOQUIA,"05125",CAICEDO
"05",ANTIOQUIA,"05129",CALDAS
"05",ANTIOQUIA,"05134",CAMPAMENTO
"05",ANTIOQUIA,"05138",CAÑASGORDAS
"05",ANTIOQUIA,"05142",CARACOLÍ
"05",ANTIOQUIA,"05145",CARAMANTA
"05",ANTIOQUIA,"05147",CAREPA
"05",ANTIOQUIA,"05148",EL CARMEN DE VIBORAL
"05",ANTIOQUIA,"05150",CAROLINA
"05",ANTIOQUIA,"05154",CAUCASIA
"05",ANTIOQUIA,"05172",CHIGORODÓ
"05",ANTIOQUIA,"05190",CISNEROS
"05",ANTIOQUIA,"05197",COCORNÁ
"05",ANTIOQUIA,"05206",CONCEPCIÓN
"05",ANTIOQUIA,"05209",CONCORDIA
"05",ANTIOQUIA,"05212",COPACABANA
"05",ANTIOQUIA,"05234",DABEIBA
"05",ANTIOQUIA,"05237",DONMATÍAS
"05",ANTIOQUIA,"05240",EBÉJICO
"05",ANTIOQUIA,"05250",EL BAGRE
"05",ANTIOQUIA,"05264",ENTRERRÍOS
"05",ANTIOQUIA,"05266",ENVIGADO
"05",ANTIOQUIA,"05282",FREDONIA
"05",ANTIOQUIA,"05284",FRONTINO
"05",ANTIOQUIA,"05306",GIRALDO
"05",ANTIOQUIA,"05308",GIRARDOTA
"05",ANTIOQUIA,"05310",GÓMEZ PLATA
"05",ANTIOQUIA,"05313",GRANADA
